Bins,(1) LMTK 0%,(2) LMTK 1%,(3) LMTK 2%,(4) LMTK 5%,(5) LMTK 10%
0 - <0.1,16.19,2.9,4.3,1.18,4.12
0.1 - <0.2,53.97,27.54,40.86,28.24,34.36
0.2 - <0.3,23.17,34.78,36.56,38.24,36.08
0.3 - <0.4,4.44,17.39,10.75,20.0,16.84
0.4 - <0.5,1.59,5.8,4.3,8.24,5.15
0.5 - <0.6,0.32,4.35,3.23,2.94,2.06
0.6 - <0.7,0.32,2.9,0.0,1.18,0.69
0.7 - <0.8,0.0,4.35,0.0,0.0,0.34
0.8 - <0.9,0.0,0.0,0.0,0.0,0.34
0.9 - <1.0,0.0,0.0,0.0,0.0,0.0
